Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
Canada,1,1,4,5,1,0,3,1,1,1,2,2,3,150,1,3,2,4,4,4,3,3,3,4,4,4,4,5
Chile,2,1,3,26,4,0,3,1,1,2,1,2,2,50,1,3,1,3,3,4,3,3,3,3,3,3,3,5
Uruguay,1,1,4,3,4,0,3,1,1,2,1,2,2,150,1,3,2,3,3,3,3,3,3,3,3,3,3,5
Chile,2,1,3,33,3,0,3,1,1,4,2,2,2,250,1,3,2,3,3,3,3,3,3,2,2,3,3,5
Ecuador,2,1,3,8,4,0,6,1,1,2,1,2,1,200,1,1,2,3,2,1,3,2,3,2,3,1,3,1
Argentina,2,2,3,16,3,2,3,1,1,2,2,2,1,350,1,1,2,3,2,3,2,3,3,3,3,3,3,3
Chile,1,2,3,2,2,0,3,1,1,2,2,2,2,250,2,1,2,3,3,2,3,3,3,2,3,3,3,2
Chile,2,2,3,33,2,0,3,1,1,2,1,2,3,250,2,3,3,2,2,2,3,2,2,2,2,2,2,3
Bolivia,1,1,3,31,4,0,6,1,1,2,1,2,3,300,3,1,2,2,3,5,3,2,3,2,3,3,3,2
Brasil,2,1,3,33,1,0,3,1,1,2,5,1,2,250,1,1,2,5,5,4,5,2,5,4,2,2,3,2
USA,2,2,3,11,2,0,3,1,1,2,5,2,3,400,1,1,2,2,5,3,3,3,3,4,3,4,4,3
USA,1,2,3,3,2,0,3,1,1,2,5,2,2,400,1,1,2,3,2,3,3,3,2,3,2,2,3,3
Ecuador,2,3,3,28,1,0,3,1,1,2,6,1,1,300,1,2,1,4,4,4,4,4,4,4,3,4,3,5
Chile,2,1,4,8,1,0,3,1,1,2,2,2,3,175,1,3,2,3,3,2,2,2,2,2,2,2,3,5
Argentina,1,1,4,19,1,0,3,1,1,3,1,2,3,150,1,1,3,2,3,3,2,3,3,2,3,1,3,5
España,1,2,4,33,3,0,3,1,1,1,2,1,1,100,1,1,2,4,4,3,3,4,3,2,3,3,3,3
Brasil,2,2,3,33,3,1,3,1,1,1,1,2,3,300,1,1,5,3,2,1,2,1,4,2,3,3,1,1
